age,income,gender,car,target
45,29923,male,yes,0
39,75755,male,yes,0
18,73277,male,yes,1
37,24442,male,yes,0
34,58901,male,yes,0
60,80984,male,yes,0
33,98705,male,yes,0
42,23517,male,yes,0
19,65680,female,no,1
27,40563,female,no,1
63,85755,male,yes,0
54,36349,male,yes,0
64,97277,male,yes,1
28,32937,female,no,1
28,88273,female,no,1
54,57877,male,yes,0
43,79169,male,yes,0
61,44058,male,yes,0
54,44061,male,yes,1
57,70943,male,yes,0
34,71501,male,yes,0
35,74242,male,yes,0
20,55120,female,no,1
26,69984,female,no,1
59,88230,male,yes,1
29,46539,female,no,1
18,52559,female,no,1
38,73072,male,yes,0
36,21655,male,yes,0
60,33326,male,yes,1
57,33768,male,yes,0
59,50678,male,yes,0
64,26601,male,yes,0
57,45869,male,yes,0
57,86205,male,yes,0
45,49791,male,yes,0
64,72738,male,yes,0
33,34093,male,yes,0
49,27088,male,yes,0
59,95195,male,yes,0
38,32123,male,yes,0
33,81334,male,yes,0
65,59261,male,yes,0
29,62664,female,no,1
21,63478,female,no,1
26,85569,female,no,1
30,28216,male,yes,0
26,79666,female,no,1
34,26188,male,yes,0
55,66656,male,yes,1
43,68654,male,yes,0
40,55525,male,yes,1
42,85047,male,yes,0
51,34390,male,yes,0
38,70014,male,yes,0
49,89137,male,yes,0
53,49390,male,yes,0
19,79296,female,no,1
26,44267,female,no,1
57,51073,male,yes,0
39,70010,male,yes,0
48,74607,male,yes,0
40,42941,male,yes,0
25,83384,female,no,1
28,85579,female,no,1
35,76455,male,yes,0
34,49056,male,yes,0
34,81751,male,yes,0
51,93230,male,yes,0
60,91928,male,yes,0
64,26608,male,yes,1
22,97150,male,yes,1
61,44886,male,yes,0
19,84400,female,no,1
51,90030,male,yes,0
47,80331,male,yes,0
30,53207,male,yes,0
57,36797,male,yes,0
56,45277,male,yes,0
27,97185,female,no,1
40,65802,male,yes,0
31,52372,male,yes,0
55,36530,male,yes,1
21,40782,female,no,1
29,68572,male,yes,1
55,76775,male,yes,0
37,67016,male,yes,0
52,86552,male,yes,0
62,89486,male,yes,0
49,72656,male,yes,0
52,86902,male,yes,0
61,49403,male,yes,0
36,39901,male,yes,0
49,84332,male,yes,0
41,31000,male,yes,0
50,48364,male,yes,0
29,20823,female,no,1
50,27770,male,yes,0
30,46354,male,yes,0
49,60581,male,yes,1
45,49091,male,yes,0
59,24750,male,yes,0
29,75754,female,no,1
43,36865,male,yes,1
45,75355,male,yes,1
51,42544,male,yes,0
26,29578,female,no,1
65,87004,male,yes,0
23,48759,female,no,1
65,57087,male,yes,0
30,74637,male,yes,0
39,78269,male,yes,0
32,95812,male,yes,0
46,32897,male,yes,0
25,47425,female,no,1
43,43466,male,yes,0
62,92324,male,yes,0
24,52618,female,no,1
46,95620,male,yes,0
47,99694,male,yes,0
61,73208,male,yes,0
46,75436,male,yes,0
43,47860,male,yes,0
23,42247,female,no,1
36,23047,male,yes,1
57,48036,male,yes,0
40,28176,male,yes,0
47,99333,male,yes,0
20,87321,female,no,1
63,75057,male,yes,0
39,21017,male,yes,0
41,76238,male,yes,0
21,81460,female,no,1
37,54207,male,yes,0
43,28235,male,yes,0
39,60279,male,yes,0
43,88095,male,yes,0
35,54570,male,yes,0
37,28383,male,yes,0
40,69096,male,yes,0
60,73576,male,yes,0
19,84217,female,no,1
62,94917,male,yes,0
64,29528,male,yes,0
39,32306,male,yes,0
25,78320,male,yes,1
40,98314,male,yes,0
18,20998,female,no,1
39,63620,male,yes,0
20,60225,female,no,1
64,84265,male,yes,0
32,27708,male,yes,0
48,22224,male,yes,0
45,76524,male,yes,0
34,21341,male,yes,0
28,31618,female,no,1
32,34557,male,yes,0
55,55345,male,yes,0
33,36870,male,yes,0
23,64998,female,no,1
19,79050,male,yes,1
30,82717,male,yes,0
64,77661,male,yes,0
23,22962,male,yes,1
42,44819,male,yes,0
34,44208,male,yes,0
63,23264,male,yes,0
33,58151,male,yes,0
43,44635,male,yes,0
40,57371,male,yes,0
54,68439,male,yes,0
62,35815,male,yes,0
62,94673,male,yes,1
51,64478,male,yes,0
55,95575,male,yes,1
32,66936,male,yes,0
27,46511,male,yes,1
53,77782,male,yes,0
29,25583,female,no,1
58,98223,male,yes,0
49,25070,male,yes,0
55,27992,male,yes,1
35,70615,male,yes,0
49,56211,male,yes,0
25,25971,female,no,1
20,26884,female,no,1
19,26804,female,no,1
38,61425,male,yes,0
32,47406,male,yes,0
40,93953,male,yes,0
25,71980,female,no,1
64,25570,male,yes,0
43,93158,male,yes,0
21,26321,female,no,1
52,84413,male,yes,0
35,46395,male,yes,0
39,49207,male,yes,0
64,85343,male,yes,0
62,29599,male,yes,0
64,80559,male,yes,0
35,85114,male,yes,0
57,69346,male,yes,0
40,69585,male,yes,0
65,84421,male,yes,0
54,81287,male,yes,0
20,80261,female,no,1
53,96551,male,yes,0
35,74470,male,yes,0
53,72842,male,yes,0
61,22636,male,yes,0
